step 0: train loss 4.1916, val loss 4.1901
iter 0: loss 4.1947, time 141467.59ms, mfu -100.00%
iter 1: loss 4.1925, time 26109.42ms, mfu -100.00%
iter 2: loss 4.1933, time 26181.23ms, mfu -100.00%
iter 3: loss 4.1868, time 26210.79ms, mfu -100.00%
iter 4: loss 4.1847, time 26490.57ms, mfu -100.00%
iter 5: loss 4.1852, time 25768.76ms, mfu 0.03%
iter 6: loss 4.1826, time 25958.04ms, mfu 0.03%
iter 7: loss 4.1755, time 26206.72ms, mfu 0.03%
iter 8: loss 4.1744, time 25982.89ms, mfu 0.03%
iter 9: loss 4.1753, time 26168.08ms, mfu 0.03%
iter 10: loss 4.1664, time 26234.15ms, mfu 0.03%
iter 11: loss 4.1661, time 26204.08ms, mfu 0.03%
iter 12: loss 4.1562, time 26351.70ms, mfu 0.03%
iter 13: loss 4.1508, time 26150.33ms, mfu 0.03%
iter 14: loss 4.1433, time 26189.95ms, mfu 0.03%
iter 15: loss 4.1333, time 26308.16ms, mfu 0.03%
iter 16: loss 4.1306, time 26122.45ms, mfu 0.03%
iter 17: loss 4.1223, time 26519.66ms, mfu 0.03%
iter 18: loss 4.1110, time 25867.18ms, mfu 0.03%
iter 19: loss 4.1042, time 26140.11ms, mfu 0.03%
iter 20: loss 4.0966, time 26588.83ms, mfu 0.03%
iter 21: loss 4.0788, time 26229.00ms, mfu 0.03%
iter 22: loss 4.0737, time 26081.05ms, mfu 0.03%
iter 23: loss 4.0700, time 25869.74ms, mfu 0.03%
iter 24: loss 4.0552, time 26172.17ms, mfu 0.03%
iter 25: loss 4.0427, time 25255.02ms, mfu 0.03%
iter 26: loss 4.0287, time 26105.12ms, mfu 0.03%
iter 27: loss 4.0169, time 26003.14ms, mfu 0.03%
iter 28: loss 4.0074, time 25946.02ms, mfu 0.03%
iter 29: loss 3.9997, time 25846.01ms, mfu 0.03%
iter 30: loss 3.9871, time 25325.01ms, mfu 0.03%
iter 31: loss 3.9753, time 26144.58ms, mfu 0.03%
iter 32: loss 3.9615, time 25728.29ms, mfu 0.03%
iter 33: loss 3.9472, time 26035.07ms, mfu 0.03%
iter 34: loss 3.9364, time 25974.47ms, mfu 0.03%
iter 35: loss 3.9275, time 25768.91ms, mfu 0.03%
iter 36: loss 3.9108, time 26153.74ms, mfu 0.03%
iter 37: loss 3.8936, time 26438.23ms, mfu 0.03%
iter 38: loss 3.8912, time 26275.52ms, mfu 0.03%
iter 39: loss 3.8799, time 25807.87ms, mfu 0.03%
iter 40: loss 3.8697, time 25748.33ms, mfu 0.03%
iter 41: loss 3.8602, time 26042.57ms, mfu 0.03%
iter 42: loss 3.8484, time 26108.70ms, mfu 0.03%
iter 43: loss 3.8333, time 25779.42ms, mfu 0.03%
iter 44: loss 3.8140, time 25906.76ms, mfu 0.03%
iter 45: loss 3.8203, time 25636.23ms, mfu 0.03%
iter 46: loss 3.8114, time 26027.98ms, mfu 0.03%
iter 47: loss 3.7943, time 26257.03ms, mfu 0.03%
iter 48: loss 3.7915, time 26082.73ms, mfu 0.03%
iter 49: loss 3.7786, time 26072.36ms, mfu 0.03%
iter 50: loss 3.7908, time 26066.03ms, mfu 0.03%
iter 51: loss 3.7627, time 25965.08ms, mfu 0.03%
iter 52: loss 3.7648, time 25986.44ms, mfu 0.03%
iter 53: loss 3.7661, time 26255.03ms, mfu 0.03%
iter 54: loss 3.7624, time 26039.43ms, mfu 0.03%
iter 55: loss 3.7410, time 25929.47ms, mfu 0.03%
iter 56: loss 3.7334, time 25950.18ms, mfu 0.03%
iter 57: loss 3.7201, time 25667.40ms, mfu 0.03%
iter 58: loss 3.7325, time 25640.90ms, mfu 0.03%
iter 59: loss 3.7099, time 25755.05ms, mfu 0.03%
iter 60: loss 3.7093, time 26179.43ms, mfu 0.03%
iter 61: loss 3.7016, time 25547.68ms, mfu 0.03%
iter 62: loss 3.6886, time 25793.62ms, mfu 0.03%
iter 63: loss 3.6904, time 26219.98ms, mfu 0.03%
iter 64: loss 3.6791, time 26242.52ms, mfu 0.03%
iter 65: loss 3.6835, time 26327.39ms, mfu 0.03%
iter 66: loss 3.6627, time 25977.95ms, mfu 0.03%
iter 67: loss 3.6680, time 25697.41ms, mfu 0.03%
iter 68: loss 3.6731, time 25790.15ms, mfu 0.03%
iter 69: loss 3.6584, time 26177.61ms, mfu 0.03%
iter 70: loss 3.6515, time 26013.80ms, mfu 0.03%
iter 71: loss 3.6607, time 26219.47ms, mfu 0.03%
iter 72: loss 3.6432, time 25853.49ms, mfu 0.03%
iter 73: loss 3.6459, time 25737.84ms, mfu 0.03%
iter 74: loss 3.6278, time 25772.59ms, mfu 0.03%
iter 75: loss 3.6255, time 25981.03ms, mfu 0.03%
iter 76: loss 3.6210, time 25953.13ms, mfu 0.03%
iter 77: loss 3.6133, time 25685.70ms, mfu 0.03%
iter 78: loss 3.6079, time 25722.59ms, mfu 0.03%
iter 79: loss 3.5968, time 25342.92ms, mfu 0.03%
iter 80: loss 3.5673, time 25823.90ms, mfu 0.03%
iter 81: loss 3.5849, time 25829.77ms, mfu 0.03%
iter 82: loss 3.5901, time 25802.53ms, mfu 0.03%
iter 83: loss 3.5535, time 26631.54ms, mfu 0.03%
iter 84: loss 3.5630, time 25902.49ms, mfu 0.03%
iter 85: loss 3.5580, time 25802.16ms, mfu 0.03%
iter 86: loss 3.5474, time 25624.34ms, mfu 0.03%
iter 87: loss 3.5233, time 25760.71ms, mfu 0.03%
iter 88: loss 3.5468, time 25713.83ms, mfu 0.03%
iter 89: loss 3.5130, time 27104.16ms, mfu 0.03%
iter 90: loss 3.5180, time 25543.31ms, mfu 0.03%
iter 91: loss 3.5118, time 26016.47ms, mfu 0.03%
iter 92: loss 3.5129, time 26489.83ms, mfu 0.03%
iter 93: loss 3.5089, time 25966.05ms, mfu 0.03%
iter 94: loss 3.5108, time 26019.52ms, mfu 0.03%
iter 95: loss 3.4894, time 25709.43ms, mfu 0.03%
iter 96: loss 3.4689, time 25632.64ms, mfu 0.03%
iter 97: loss 3.4640, time 25958.44ms, mfu 0.03%
iter 98: loss 3.4651, time 25919.24ms, mfu 0.03%
iter 99: loss 3.4562, time 25735.10ms, mfu 0.03%
iter 100: loss 3.4482, time 25973.77ms, mfu 0.03%
iter 101: loss 3.4503, time 25761.56ms, mfu 0.03%
iter 102: loss 3.4481, time 25785.04ms, mfu 0.03%
iter 103: loss 3.4300, time 25872.37ms, mfu 0.03%
iter 104: loss 3.4213, time 25898.64ms, mfu 0.03%
iter 105: loss 3.4159, time 25795.28ms, mfu 0.03%
iter 106: loss 3.4291, time 26067.23ms, mfu 0.03%
iter 107: loss 3.3933, time 25670.86ms, mfu 0.03%
iter 108: loss 3.4102, time 25581.61ms, mfu 0.03%
iter 109: loss 3.3952, time 25700.45ms, mfu 0.03%
iter 110: loss 3.3930, time 26050.91ms, mfu 0.03%
iter 111: loss 3.3988, time 25931.10ms, mfu 0.03%
iter 112: loss 3.3902, time 25622.57ms, mfu 0.03%
iter 113: loss 3.3872, time 25559.92ms, mfu 0.03%
iter 114: loss 3.3785, time 25864.26ms, mfu 0.03%
iter 115: loss 3.3438, time 25910.96ms, mfu 0.03%
iter 116: loss 3.3581, time 25677.54ms, mfu 0.03%
iter 117: loss 3.3477, time 25379.22ms, mfu 0.03%
iter 118: loss 3.3651, time 25495.50ms, mfu 0.03%
iter 119: loss 3.3467, time 25710.51ms, mfu 0.03%
iter 120: loss 3.3409, time 25720.40ms, mfu 0.03%
iter 121: loss 3.3512, time 25738.42ms, mfu 0.03%
iter 122: loss 3.3312, time 25851.43ms, mfu 0.03%
iter 123: loss 3.3273, time 25692.94ms, mfu 0.03%
iter 124: loss 3.3426, time 25658.56ms, mfu 0.03%
iter 125: loss 3.3082, time 25520.16ms, mfu 0.03%
iter 126: loss 3.3096, time 25577.43ms, mfu 0.03%
iter 127: loss 3.3178, time 26071.08ms, mfu 0.03%
iter 128: loss 3.3065, time 25605.72ms, mfu 0.03%
iter 129: loss 3.3072, time 25449.71ms, mfu 0.03%
iter 130: loss 3.2997, time 26000.73ms, mfu 0.03%
iter 131: loss 3.2943, time 25672.99ms, mfu 0.03%
iter 132: loss 3.2821, time 25388.27ms, mfu 0.03%
iter 133: loss 3.2789, time 26111.19ms, mfu 0.03%
iter 134: loss 3.2796, time 25708.32ms, mfu 0.03%
iter 135: loss 3.2673, time 25706.90ms, mfu 0.03%
iter 136: loss 3.2744, time 25896.66ms, mfu 0.03%
iter 137: loss 3.2642, time 26001.16ms, mfu 0.03%
iter 138: loss 3.2619, time 25716.89ms, mfu 0.03%
iter 139: loss 3.2405, time 25765.90ms, mfu 0.03%
iter 140: loss 3.2559, time 25390.63ms, mfu 0.03%
iter 141: loss 3.2564, time 25956.08ms, mfu 0.03%
iter 142: loss 3.2424, time 25528.02ms, mfu 0.03%
iter 143: loss 3.2461, time 25482.55ms, mfu 0.03%
iter 144: loss 3.2128, time 25568.47ms, mfu 0.03%
iter 145: loss 3.2431, time 25801.61ms, mfu 0.03%
